Country;IDCountry;populationGroup;IDpopulationGroup;CategoryLevel;Category1;IDCategory1;Category2;IDCategory2;avg_consume [grams/day/person];avg_consume [grams/kg body weight]
Czech Republic;55;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;1426,705;19,545
Estonia;63;Adolescents;7;2;Alcoholic beverages;10489503;Mixed Alcoholic Drinks;10489589;1350;16,564
Czech Republic;55;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;1312,626;17,988
Croatia;97;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;1312,432;17,735
Austria;14;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;1265,086;16,879
Austria;14;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;1247,025;18,216
Austria;14;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;1241,379;16,569
Denmark;58;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;1234,844;17,023
Croatia;97;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;1217,958;16,441
Germany;56;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;1196,345;16,03
Austria;14;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;1179,292;17,262
Germany;56;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;1126,388;15,142
Czech Republic;55;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;1096,088;24,137
France;75;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;1082,971;15,339
Denmark;58;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;1066,79;14,949
Denmark;58;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;1064,725;14,785
Germany;56;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;1052,497;16,611
Finland;70;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;1034,879;13,846
Slovakia;198;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;1033,292;14,037
Estonia;63;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;1027,089;13,114
Belgium;22;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;1017,066;16,642
Austria;14;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;1016,678;13,257
France;75;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;999,399;14,164
Denmark;58;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;997,601;19,846
Austria;14;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;997,083;14,73
Slovakia;198;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;987,778;13,476
Belgium;22;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;983,29;14,237
Austria;14;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;966,12;12,561
Portugal;180;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;958,564;13,434
Finland;70;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;955,932;12,869
Austria;14;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;952,693;14,109
Germany;56;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;943,979;14,809
Finland;70;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;942,955;12,665
Netherlands;162;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;933,316;12,273
Denmark;58;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;931,848;18,574
Germany;56;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;929,837;12,183
Germany;56;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;918,408;12,052
United Kingdom;77;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;913,757;12,161
Finland;70;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;912,728;12,216
Denmark;58;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;911,646;12,839
Netherlands;162;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;905,771;17,347
Spain;67;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;901,974;16,882
Portugal;180;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;900,097;17,473
Finland;70;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;896,696;12,105
Netherlands;162;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;891,725;12,088
France;75;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;886,953;13,136
Finland;70;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;886,529;11,89
Portugal;180;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;885,9;12,41
France;75;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;879,382;13,038
Estonia;63;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;878,023;11,724
Denmark;58;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;873,595;11,882
France;75;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;871,654;12,91
Czech Republic;55;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;854,348;10,703
Czech Republic;55;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;852,341;18,65
Estonia;63;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;841,79;11,235
France;75;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;840,189;11,974
France;75;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;838,192;11,821
Denmark;58;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;835,291;12,438
France;75;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;832,378;11,869
Ireland;101;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;828,22;11,061
Denmark;58;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;828,061;11,294
France;75;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;826,342;12,247
Netherlands;162;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;821,182;10,867
Denmark;58;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;818,524;12,167
France;75;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;817,957;11,536
France;75;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;812,644;16,24
Germany;56;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;808,098;10,921
Spain;67;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;803,472;15,145
Portugal;180;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;800,066;10,888
Estonia;63;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;799,166;13,839
Germany;56;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;798,879;10,806
Belgium;22;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;793,605;11,469
Ireland;101;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;790,038;9,742
Denmark;58;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;785,954;11,211
France;75;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;784,768;11,556
Estonia;63;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;784,232;10,073
Portugal;180;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;780,409;10,621
United Kingdom;77;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;775,06;14,583
France;75;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;771,957;11,387
Denmark;58;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;770,027;15,318
United Kingdom;77;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;765,822;10,221
Netherlands;162;Adolescents;7;2;Alcoholic beverages;10489503;Beer;10489514;756,077;10,731
Finland;70;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;754,788;14,022
Portugal;180;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;754,748;10,763
Denmark;58;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;748,717;10,704
Spain;67;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;747,934;10,532
Czech Republic;55;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;745,146;9,457
United Kingdom;77;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;744,818;10,121
Sweden;193;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;744,657;10,185
Portugal;180;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;741,262;14,301
Portugal;180;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;737,969;10,489
Sweden;193;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;736,841;10,392
Slovakia;198;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;723,396;8,756
Estonia;63;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;718,822;9,171
Estonia;63;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;714,104;12,243
Belgium;22;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;711,65;11,671
Italy;108;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;710,341;10,597
Italy;108;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;710,033;14,04
Ireland;101;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;709,394;9,493
Estonia;63;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;705,787;9,002
Spain;67;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;705,213;10,17
Netherlands;162;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;696,218;9,187
Austria;14;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;693,661;14,996
Netherlands;162;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;692,646;8,486
Germany;56;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;690,069;17,683
France;75;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;689,711;13,758
United Kingdom;77;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;689,652;9
Spain;67;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;685,169;9,675
Italy;108;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;683,638;10,197
Finland;70;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;674,379;8,883
France;75;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;673,943;13,533
Spain;67;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;671,497;13,753
Ireland;101;Elderly;12;2;Alcoholic beverages;10489503;Beer;10489514;663,5;7,652
Finland;70;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;660,741;8,705
Denmark;58;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;657,893;13,126
Belgium;22;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;656,983;9,147
Germany;56;Adolescents;7;2;Alcoholic beverages;10489503;Beer;10489514;656,213;9,531
Ireland;101;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;655,949;8,621
Sweden;193;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;652,054;8,957
Austria;14;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;651,263;8,534
Italy;108;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;649,693;9,862
Italy;108;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;645,854;9,806
Finland;70;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;641,828;11,938
United Kingdom;77;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;641,796;8,388
Poland;175;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10487831;641,663;11,132
Italy;108;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;640,155;12,694
Belgium;22;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;639,73;8,941
Italy;108;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;639,179;9,117
Spain;67;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;637,831;10,224
Spain;67;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;632,788;9,629
Italy;108;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;631,066;8,999
Romania;185;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;628,061;13,346
Spain;67;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;626,127;8,748
Sweden;193;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;622,96;8,841
