Country;Alcoholic_beverages;Coffee_and_Tea;Fish;Fruit_and_fruit_products;Grains_and_grain_products;Meat;Milk_and_Milk_based_Products;Sugar_and_similars;Vegetables;Water_and_water_based_beverages
Austria;253;403;88;178;242;114;187;26;123;989
Belgium;365;445;61;155;215;117;199;35;129;886
Bulgaria;286;168;156;154;223;111;213;23;166;393
Croatia;378;167;81;173;214;202;215;19;176;1312
Cyprus;145;133;46;122;137;83;238;20;93;154
Czech Republic;481;9;75;169;277;170;233;27;113;1262
Denmark;296;542;19;158;184;109;390;32;130;886
Estonia;437;302;55;202;142;120;306;25;140;581
Finland;280;501;53;157;176;103;405;24;116;762
France;146;286;41;151;198;110;279;22;180;767
Germany;318;466;46;163;199;84;227;27;90;813
Hungary;226;229;63;212;237;173;270;29;160;344
Ireland;475;626;44;116;251;168;285;23;142;596
Italy;99;113;56;182;208;95;270;21;177;622
Latvia;206;376;65;168;168;134;256;34;142;376
Netherlands;399;746;59;144;218;120;373;34;133;782
Poland;382;602;152;349;301;238;251;54;261;326
Portugal;111;143;49;133;154;103;317;21;123;714
Romania;161;182;98;181;177;180;199;25;368;505
Slovakia;568;531;131;217;260;162;204;54;129;1033
Slovenia;274;279;114;290;249;200;244;27;168;617
Spain;150;29;67;179;180;140;383;18;136;623
Sweden;208;439;48;140;189;96;345;24;64;618
United Kingdom;278;358;35;103;170;77;231;23;110;653
