Country;IDCountry;populationGroup;IDpopulationGroup;Category1;IDCategory1;Category2;IDCategory2;Category3;IDCategory3;avg_GramsPerDay;CategoryLevel
Germany;56;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;1;3
Italy;108;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;1,013;3
Germany;56;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;1,107;2
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;1,11;3
Germany;56;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;1,473;2
Germany;56;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;1,807;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;2,076;3
Netherlands;162;Adults;10;Alcoholic beverages;10489503;Alcoholic beverages;10489503;NULL;NULL;2,184;2
Netherlands;162;Adults;10;Alcoholic beverages;10489503;Alcoholic beverages;10489503;Alcoholic beverages;10489503;2,184;3
Italy;108;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;2,222;2
Italy;108;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;2,237;3
Denmark;58;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;2,437;3
Italy;108;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;2,925;3
Ireland;101;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;2,952;3
United Kingdom;77;Infants;1;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;3,613;2
United Kingdom;77;Infants;1;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;3,613;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;3,688;2
United Kingdom;77;Infants;1;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;3,927;1
Slovenia;196;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;4,367;2
Slovenia;196;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;4,367;3
Italy;108;Adolescents;7;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;4,53;1
Austria;14;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;4,984;3
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;5;1
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;5;2
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;5;3
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;5;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;5,036;3
Austria;14;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;5,242;2
Denmark;58;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;5,357;3
Italy;108;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;5,417;3
United Kingdom;77;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;5,588;3
