Country;IDCountry;populationGroup;IDpopulationGroup;Category1;IDCategory1;avg_GramsPerDay;CategoryLevel
Czech Republic;55;Adults;10;Water and water based beverages;10489266;1427;1
Croatia;97;Adults;10;Water and water based beverages;10489266;1312;1
Austria;14;Adults;10;Water and water based beverages;10489266;1247;1
Denmark;58;Adults;10;Water and water based beverages;10489266;1235;1
Germany;56;Adults;10;Water and water based beverages;10489266;1196;1
Czech Republic;55;Adolescents;7;Water and water based beverages;10489266;1096;1
France;75;Adults;10;Water and water based beverages;10489266;1083;1
Denmark;58;Adults;10;Water and water based beverages;10489266;1067;1
Germany;56;Adolescents;7;Water and water based beverages;10489266;1052;1
Finland;70;Adults;10;Water and water based beverages;10489266;1035;1
Slovakia;198;Adults;10;Water and water based beverages;10489266;1033;1
Belgium;22;Adolescents;7;Water and water based beverages;10489266;1017;1
Austria;14;Elderly;12;Water and water based beverages;10489266;1017;1
Denmark;58;Adolescents;7;Water and water based beverages;10489266;998;1
Austria;14;Adults;10;Water and water based beverages;10489266;997;1
Denmark;58;Elderly;12;Coffee and Tea;10489360;989;1
Belgium;22;Adults;10;Water and water based beverages;10489266;983;1
Portugal;180;Adults;10;Water and water based beverages;10489266;959;1
Finland;70;Adults;10;Water and water based beverages;10489266;956;1
Netherlands;162;Adults;10;Water and water based beverages;10489266;933;1
Denmark;58;Adolescents;7;Water and water based beverages;10489266;932;1
Germany;56;Elderly;12;Water and water based beverages;10489266;930;1
United Kingdom;77;Adults;10;Water and water based beverages;10489266;914;1
Finland;70;Elderly;12;Water and water based beverages;10489266;913;1
Netherlands;162;Adolescents;7;Water and water based beverages;10489266;906;1
Netherlands;162;Elderly;12;Coffee and Tea;10489360;903;1
Denmark;58;Adults;10;Coffee and Tea;10489360;902;1
Spain;67;Adolescents;7;Water and water based beverages;10489266;902;1
Portugal;180;Adolescents;7;Water and water based beverages;10489266;900;1
Denmark;58;Elderly;12;Coffee and Tea;10489360;897;1
Netherlands;162;Adults;10;Water and water based beverages;10489266;892;1
France;75;Adults;10;Water and water based beverages;10489266;887;1
Estonia;63;Adults;10;Water and water based beverages;10489266;878;1
Denmark;58;Elderly;12;Water and water based beverages;10489266;874;1
Netherlands;162;Elderly;12;Coffee and Tea;10489360;871;1
France;75;Elderly;12;Water and water based beverages;10489266;840;1
France;75;Elderly;12;Water and water based beverages;10489266;838;1
Germany;56;Elderly;12;Coffee and Tea;10489360;835;1
Ireland;101;Adults;10;Water and water based beverages;10489266;828;1
Netherlands;162;Adults;10;Coffee and Tea;10489360;824;1
Denmark;58;Adults;10;Coffee and Tea;10489360;818;1
France;75;Adolescents;7;Water and water based beverages;10489266;813;1
Netherlands;162;Adults;10;Coffee and Tea;10489360;800;1
Portugal;180;Elderly;12;Water and water based beverages;10489266;800;1
Estonia;63;Adolescents;7;Water and water based beverages;10489266;799;1
Germany;56;Adults;10;Coffee and Tea;10489360;798;1
Denmark;58;Elderly;12;Water and water based beverages;10489266;786;1
Estonia;63;Adults;10;Alcoholic beverages;10489503;784;1
United Kingdom;77;Adolescents;7;Water and water based beverages;10489266;775;1
Ireland;101;Adults;10;Coffee and Tea;10489360;761;1
Finland;70;Adolescents;7;Water and water based beverages;10489266;755;1
Spain;67;Adults;10;Water and water based beverages;10489266;748;1
Czech Republic;55;Adults;10;Alcoholic beverages;10489503;745;1
United Kingdom;77;Adults;10;Water and water based beverages;10489266;745;1
Sweden;193;Adults;10;Water and water based beverages;10489266;745;1
Sweden;193;Adults;10;Water and water based beverages;10489266;737;1
Estonia;63;Elderly;12;Water and water based beverages;10489266;719;1
Poland;175;Adults;10;Coffee and Tea;10489360;715;1
Italy;108;Adults;10;Water and water based beverages;10489266;710;1
Italy;108;Adolescents;7;Water and water based beverages;10489266;710;1
Spain;67;Adults;10;Water and water based beverages;10489266;705;1
Austria;14;Adolescents;7;Water and water based beverages;10489266;694;1
Germany;56;Adolescents;7;Water and water based beverages;10489266;690;1
United Kingdom;77;Elderly;12;Water and water based beverages;10489266;690;1
Finland;70;Elderly;12;Water and water based beverages;10489266;674;1
France;75;Adolescents;7;Water and water based beverages;10489266;674;1
Spain;67;Adolescents;7;Water and water based beverages;10489266;671;1
Finland;70;Adults;10;Coffee and Tea;10489360;670;1
Belgium;22;Elderly;12;Water and water based beverages;10489266;657;1
Italy;108;Elderly;12;Water and water based beverages;10489266;639;1
Spain;67;Adolescents;7;Water and water based beverages;10489266;638;1
Poland;175;Elderly;12;Coffee and Tea;10489360;637;1
Finland;70;Adults;10;Coffee and Tea;10489360;636;1
Spain;67;Adults;10;Water and water based beverages;10489266;633;1
Romania;185;Adolescents;7;Water and water based beverages;10489266;628;1
Spain;67;Elderly;12;Water and water based beverages;10489266;626;1
United Kingdom;77;Elderly;12;Coffee and Tea;10489360;625;1
Finland;70;Adolescents;7;Milk and Milk based Products;10488473;623;1
Slovenia;196;Adults;10;Water and water based beverages;10489266;617;1
Ireland;101;Elderly;12;Coffee and Tea;10489360;616;1
